facility_id,facility_name,primary_sector,emissions_2023,label
1002665,ASH GROVE CEMENT CO-CHANUTE PLANT,Minerals,1299989.504,ASH GROVE CEMENT CO-CHANUTE PLANT [1002665] -- Minerals
1000764,Ravenswood Generating Station,Power Plants,1286200.612,Ravenswood Generating Station [1000764] -- Power Plants
1001331,Tenaska Gateway Generating Station,Power Plants,1262932.12,Tenaska Gateway Generating Station [1001331] -- Power Plants
1007942,CHS MCPHERSON REFINERY INC.,Chemicals,1248855.472,CHS MCPHERSON REFINERY INC. [1007942] -- Chemicals
1006933,"Pleasants Energy, LLC",Power Plants,1241583.138,"Pleasants Energy, LLC [1006933] -- Power Plants"
1001329,Desert Basin Generating Station,Power Plants,1240576.252,Desert Basin Generating Station [1001329] -- Power Plants
1001713,OXY VINYLS LP - LA PORTE VCM PLANT,Chemicals,1231290.848,OXY VINYLS LP - LA PORTE VCM PLANT [1001713] -- Chemicals
1000630,ADVANSIX INCORPORATED - HOPEWELL,Chemicals,1227774.444,ADVANSIX INCORPORATED - HOPEWELL [1000630] -- Chemicals
1007469,PG&E GATEWAY GENERATING STATION,Power Plants,1219864.08,PG&E GATEWAY GENERATING STATION [1007469] -- Power Plants
1007457,Lagoon Creek,Power Plants,1215209.038,Lagoon Creek [1007457] -- Power Plants
1007909,Indorama Ventures Oxides LLC,Chemicals,1210394.684,Indorama Ventures Oxides LLC [1007909] -- Chemicals
1006815,HOLCIM (US) INC.,Minerals,1205311.276,HOLCIM (US) INC. [1006815] -- Minerals
1000411,Lima Refinery,Petroleum Product Suppliers,1205035.274,Lima Refinery [1000411] -- Petroleum Product Suppliers
1003904,TESORO CORPORATION-ANACORTES REFINERY,Petroleum Product Suppliers,1202266.938,TESORO CORPORATION-ANACORTES REFINERY [1003904] -- Petroleum Product Suppliers
1008271,"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC)",Chemicals,1201210.154,"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC) [1008271] -- Chemicals"
1005788,TERRA INTERNATIONAL (OKLAHOMA) LLC,Chemicals,1190499.648,TERRA INTERNATIONAL (OKLAHOMA) LLC [1005788] -- Chemicals
1005662,Mitsubishi Cement Corp Cushenbury Cement Plant,Minerals,1178981.544,Mitsubishi Cement Corp Cushenbury Cement Plant [1005662] -- Minerals
1002350,"Westlake Chemicals and Vinyls, LLC",Chemicals,1167601.176,"Westlake Chemicals and Vinyls, LLC [1002350] -- Chemicals"
1007173,PG&E COLUSA GENERATING STATION,Power Plants,1165329.08,PG&E COLUSA GENERATING STATION [1007173] -- Power Plants
1001314,Klamath Cogeneration Project,Power Plants,1145631.892,Klamath Cogeneration Project [1001314] -- Power Plants
1001325,Magic Valley Generating Station,Power Plants,1136191.64,Magic Valley Generating Station [1001325] -- Power Plants
1001282,St. Nicholas Cogeneration Project,Power Plants,1133244.744,St. Nicholas Cogeneration Project [1001282] -- Power Plants
1006891,Motiva Port Arthur Chemicals,Chemicals,1131434.222,Motiva Port Arthur Chemicals [1006891] -- Chemicals
1000323,Cosumnes Power Plant,Power Plants,1117202.15,Cosumnes Power Plant [1000323] -- Power Plants
