year,primary_sector,state,emissions,n_facilities
2011,Petroleum and Natural Gas Systems,UT,249133.372,4
2011,Petroleum and Natural Gas Systems,WA,72380.386,1
2011,Petroleum and Natural Gas Systems,WV,106161.99599999998,3
2011,Petroleum and Natural Gas Systems,WY,1279448.156,7
2011,Petroleum Product Suppliers,AK,531053.07,1
2011,Petroleum Product Suppliers,AL,413780.78,1
2011,Petroleum Product Suppliers,CA,1086999.605,3
2011,Petroleum Product Suppliers,IL,3943771.1340000005,2
2011,Petroleum Product Suppliers,IN,207253.836,1
2011,Petroleum Product Suppliers,KY,2232174.954,1
2011,Petroleum Product Suppliers,LA,12629936.958,6
2011,Petroleum Product Suppliers,MI,724939.172,1
2011,Petroleum Product Suppliers,MS,26897.172,1
2011,Petroleum Product Suppliers,ND,563532.664,1
2011,Petroleum Product Suppliers,NJ,149353.64,1
2011,Petroleum Product Suppliers,NV,15504.946,1
2011,Petroleum Product Suppliers,OH,3804688.002,3
2011,Petroleum Product Suppliers,OK,572232.22,1
2011,Petroleum Product Suppliers,PA,169140.076,1
2011,Petroleum Product Suppliers,TX,10349719.746,8
2011,Petroleum Product Suppliers,WA,3401877.06,3
2011,Petroleum Product Suppliers,WY,143555.12,1
2011,Power Plants,AK,1247822.406,5
2011,Power Plants,AL,41165557.524000004,8
2011,Power Plants,AR,4993312.7979999995,2
2011,Power Plants,AZ,16282853.360000001,7
2011,Power Plants,CA,10077159.249245327,22
2011,Power Plants,CO,22318671.058,10
2011,Power Plants,CT,5440688.488,5
2011,Power Plants,DC,231945.018,2
2011,Power Plants,DE,120836.96,1
2011,Power Plants,FL,45542679.644,16
2011,Power Plants,GA,21240157.44,7
2011,Power Plants,GU,415052.61,1
2011,Power Plants,HI,1040587.368,5
2011,Power Plants,IA,19795858.472,3
2011,Power Plants,ID,319725.616,1
2011,Power Plants,IL,16626001.676,3
2011,Power Plants,IN,13373942.304,4
2011,Power Plants,KS,20368716.186,4
2011,Power Plants,KY,36030925.076,5
2011,Power Plants,LA,9296293.774,6
2011,Power Plants,MA,1036702.86,5
2011,Power Plants,MD,48272.464,1
2011,Power Plants,MI,24219316.076,12
2011,Power Plants,MN,7940416.131,7
2011,Power Plants,MO,28429504.208,8
2011,Power Plants,MS,13224546.264,8
2011,Power Plants,MT,14939236.272,2
2011,Power Plants,NC,12897155.016,2
2011,Power Plants,ND,18451491.33,3
2011,Power Plants,NE,15084313.74,4
2011,Power Plants,NJ,4450717.8379999995,5
2011,Power Plants,NM,3506532.6520000002,6
2011,Power Plants,NV,5798591.65385,6
2011,Power Plants,NY,8534369.61,20
2011,Power Plants,OH,35866198.633999996,12
2011,Power Plants,OK,2502253,4
2011,Power Plants,OR,1364601.492,2
2011,Power Plants,PA,13520535.192,13
2011,Power Plants,PR,5825432.08,2
2011,Power Plants,RI,1172839.504,1
2011,Power Plants,SC,6769717.074,5
2011,Power Plants,SD,2657594.34,1
2011,Power Plants,TN,18405035.196,4
2011,Power Plants,TX,115447179.685,30
2011,Power Plants,UT,3757174.87,3
2011,Power Plants,VA,577586.1,2
2011,Power Plants,VI,388574.728,1
2011,Power Plants,WA,968035.736,4
2011,Power Plants,WI,15491967.722,10
2011,Power Plants,WV,27218518.814000003,5
2011,Power Plants,WY,5571790.646,6
2011,Pulp and Paper,AL,1607669.1739999999,5
2011,Pulp and Paper,AR,1038962.302,3
2011,Pulp and Paper,CA,671190.38,3
2011,Pulp and Paper,CT,236929.25,2
2011,Pulp and Paper,FL,617589,1
2011,Pulp and Paper,GA,818185.524,5
2011,Pulp and Paper,ID,288457.482,1
2011,Pulp and Paper,IN,55866.44,1
2011,Pulp and Paper,KY,50393.56,1
2011,Pulp and Paper,LA,1330950.6840000001,5
2011,Pulp and Paper,ME,283749.6,1
2011,Pulp and Paper,MI,164395.078,1
2011,Pulp and Paper,MN,190688.298,1
2011,Pulp and Paper,MO,143168.26,1
2011,Pulp and Paper,MS,236456.974,2
2011,Pulp and Paper,NC,308179.552,1
2011,Pulp and Paper,NJ,59375.588,1
2011,Pulp and Paper,NY,592194.964,5
2011,Pulp and Paper,OH,114066.02,2
2011,Pulp and Paper,OK,1562386.336,3
2011,Pulp and Paper,OR,411996.93200000003,2
2011,Pulp and Paper,PA,1668401.7079999999,4
2011,Pulp and Paper,SC,274218.972,3
2011,Pulp and Paper,TN,642962.476,6
2011,Pulp and Paper,TX,287628.86600000004,2
2011,Pulp and Paper,UT,31838.98,1
2011,Pulp and Paper,VA,2973641.71,5
2011,Pulp and Paper,WA,249729.16,2
2011,Pulp and Paper,WI,404984.256,6
2011,Pulp and Paper,WV,30541.436,1
2011,Refineries,TX,557367.03,1
2011,Refineries,UT,470377.68,1
2011,Waste,AK,489667.42,3
2011,Waste,AL,1082620.107,10
2011,Waste,AR,630464.692425,8
2011,Waste,AZ,411608.476625,8
2011,Waste,CA,1527427.627,16
