facility_id,facility_name,primary_sector,state,year,emissions,predicted,error_pct
1000099,Robinson Refinery,Petroleum Product Suppliers,IL,2022,1817829.26,1746760.9946463397,3.9095126763258463
1000099,Robinson Refinery,Petroleum Product Suppliers,IL,2023,1826459.498,1759400.4038317667,3.6715346954949677
1000101,Athens Generating Company,Power Plants,NY,2021,694687.976,990338.8969814812,42.558807867070556
1000101,Athens Generating Company,Power Plants,NY,2022,1664181.732,942601.3416755426,43.35947069057584
1000101,Athens Generating Company,Power Plants,NY,2023,705858.184,897164.8917725444,27.102711579886467
1000102,Sunrise Power Company,Power Plants,CA,2021,1020349.668,1176443.143441664,15.298037558793434
1000102,Sunrise Power Company,Power Plants,CA,2022,1062068.664,1240163.1981753109,16.768645965371476
1000102,Sunrise Power Company,Power Plants,CA,2023,1082257.115,1307334.541989857,20.79703832576394
1000104,FORD MOTOR COMPANY - FORD OHIO ASSEMBLY PLANT,Other,OH,2021,26142.752,28706.845811327647,9.808048560945865
1000104,FORD MOTOR COMPANY - FORD OHIO ASSEMBLY PLANT,Other,OH,2022,30261.436,27086.683207052607,10.491084405073819
1000104,FORD MOTOR COMPANY - FORD OHIO ASSEMBLY PLANT,Other,OH,2023,28540.292,25557.959658170257,10.449550907992617
1000105,Ardagh Glass Inc. (Dolton),Minerals,IL,2021,87614.576,86103.72423822733,1.7244296905262382
1000105,Ardagh Glass Inc. (Dolton),Minerals,IL,2022,85254.18,86461.75361699474,1.4164391904241513
1000105,Ardagh Glass Inc. (Dolton),Minerals,IL,2023,79743.744,86821.27172388854,8.875339141197749
1000106,Waterford Plant,Power Plants,OH,2021,2358932.108,2736614.729322677,16.010745711664075
1000106,Waterford Plant,Power Plants,OH,2022,2530580.124,2917125.4626881345,15.27496936461889
1000106,Waterford Plant,Power Plants,OH,2023,2063490.052,3109542.9231902193,50.693380865895236
1000107,Osprey Energy Center,Power Plants,FL,2021,944753.4,803604.1882047176,14.94032324152339
1000107,Osprey Energy Center,Power Plants,FL,2022,741071.852,788690.1369160283,6.425596220867985
1000107,Osprey Energy Center,Power Plants,FL,2023,847667.108,774052.8747843724,8.684332861435932
1000108,North 1st,Power Plants,NY,2021,20373.324,22070.318528887834,8.32949266839242
1000108,North 1st,Power Plants,NY,2022,41620.996,21429.413979327135,48.51297172386952
1000108,North 1st,Power Plants,NY,2023,18741.4,20807.12078968451,11.022233075888195
1000109,West Lorain,Power Plants,OH,2021,210993.906,9638.048191661725,95.43207271983405
1000109,West Lorain,Power Plants,OH,2022,404663.166,8161.315556772221,97.9831829920561
1000109,West Lorain,Power Plants,OH,2023,717758.224,6910.846500522462,99.03716233831373
1000110,Midulla Generating Station,Power Plants,FL,2021,1625274.38,1549711.868370557,4.649215699163542
1000110,Midulla Generating Station,Power Plants,FL,2022,1505740.42,1606943.8617823438,6.7211745423121405
1000110,Midulla Generating Station,Power Plants,FL,2023,1069611.784,1666289.4745944429,55.784509811874216
1000111,Vernon Boulevard,Power Plants,NY,2021,51252.46,26246.22743632783,48.790306969991626
1000111,Vernon Boulevard,Power Plants,NY,2022,72019.832,25283.605263721864,64.89355145438014
1000111,Vernon Boulevard,Power Plants,NY,2023,71108,24356.28879169479,65.7474703385065
1000112,23rd and 3rd,Power Plants,NY,2021,46081.78,51089.94026693695,10.86798354346762
1000112,23rd and 3rd,Power Plants,NY,2022,68839.396,48852.809200320655,29.033646372608125
1000112,23rd and 3rd,Power Plants,NY,2023,31916.132,46713.63783737735,46.36371925450536
1000113,Pouch Terminal,Power Plants,NY,2021,33356.276,27784.37769843757,16.704197739467165
1000113,Pouch Terminal,Power Plants,NY,2022,35307.62,26290.500349087564,25.538735408709044
1000113,Pouch Terminal,Power Plants,NY,2023,24767.708,24876.944018949293,0.4410420978368035
1000114,Brentwood,Power Plants,NY,2021,36148.816,32558.62792784541,9.931689248562359
1000114,Brentwood,Power Plants,NY,2022,39280.104,32454.18136871602,17.377557430306137
1000114,Brentwood,Power Plants,NY,2023,20842.372,32350.069869274597,55.21299528323647
1000116,Harlem River Yard,Power Plants,NY,2021,41797.996,23344.857292283163,44.14838143847097
1000116,Harlem River Yard,Power Plants,NY,2022,67803.6,23252.194977281943,65.7065480634038
1000116,Harlem River Yard,Power Plants,NY,2023,53856.152,23159.90046511258,56.9967411241847
1000117,"West Valley Power, LLC",Power Plants,UT,2021,140476.828,101484.26518516752,27.757291625941672
1000117,"West Valley Power, LLC",Power Plants,UT,2022,281361.008,99661.42400070385,64.57880759344455
1000117,"West Valley Power, LLC",Power Plants,UT,2023,464388.08,97871.32434496598,78.92466913772508
1000118,Solway Plant,Power Plants,MN,2021,61349.77,27296.17159642791,55.50729595819527
1000118,Solway Plant,Power Plants,MN,2022,48087.218,27912.99608526158,41.953397916965
1000118,Solway Plant,Power Plants,MN,2023,88210.024,28543.7592485603,67.64113877969208
1000119,Hoosier Energy Lawrence Co Station,Power Plants,IN,2021,67353.7,32547.355151874886,51.67696035722628
1000119,Hoosier Energy Lawrence Co Station,Power Plants,IN,2022,34639.22,34070.06881737301,1.6430831370538728
1000119,Hoosier Energy Lawrence Co Station,Power Plants,IN,2023,25831.756,35664.02197057368,38.06270843752814
1000120,Evander Andrews Power Complex,Power Plants,ID,2021,288868.88,132998.03803171116,53.95902873590567
1000120,Evander Andrews Power Complex,Power Plants,ID,2022,321529.256,145566.12576142082,54.72694224707788
1000120,Evander Andrews Power Complex,Power Plants,ID,2023,331721.02,159321.8763432999,51.971124307015614
1000121,Warren F. Sam Beasley Pwr Station,Power Plants,DE,2021,14290.07,23163.866928838666,62.097644929931526
1000121,Warren F. Sam Beasley Pwr Station,Power Plants,DE,2022,38813.784,24443.50206744458,37.02365616440649
1000121,Warren F. Sam Beasley Pwr Station,Power Plants,DE,2023,11046.996,25793.82773855038,133.49178128199176
1000122,"Gilroy Energy Center, LLC for King City",Power Plants,CA,2021,6479.128,5066.289074630672,21.806004224169172
1000122,"Gilroy Energy Center, LLC for King City",Power Plants,CA,2022,5283.832,5178.915491232344,1.9856140158819682
1000122,"Gilroy Energy Center, LLC for King City",Power Plants,CA,2023,7294.672,5294.0456555534365,27.42585745385897
1000123,Yuba City Energy Center,Power Plants,CA,2021,53732.248,25859.535429928514,51.873341629167435
1000123,Yuba City Energy Center,Power Plants,CA,2022,40904,27186.554970849636,33.535705625734316
1000123,Yuba City Energy Center,Power Plants,CA,2023,28671.744,28581.672442870808,0.31414746563442814
1000124,US Steel (Clairton Coke),Metals,PA,2021,796230.94,843854.3357853931,5.981103395127197
1000124,US Steel (Clairton Coke),Metals,PA,2022,793104.444,865146.5060817815,9.083552945238754
1000124,US Steel (Clairton Coke),Metals,PA,2023,769566.246,886975.9213702318,15.256604091005277
1000125,Ackerman Combined Cycle,Power Plants,MS,2021,1326722.057,1414465.3017281422,6.613536291583803
1000125,Ackerman Combined Cycle,Power Plants,MS,2022,1616913.072,1582851.8689940658,2.1065574640820355
1000125,Ackerman Combined Cycle,Power Plants,MS,2023,927458.714,1771284.1991365724,90.98253888814854
1000127,Bethlehem Power Plant,Power Plants,PA,2021,1518360.26,2128241.4954352914,40.167096801867785
1000127,Bethlehem Power Plant,Power Plants,PA,2022,1894914.98,2127880.324338295,12.294237303369412
1000127,Bethlehem Power Plant,Power Plants,PA,2023,2638013.468,2127519.2145334794,19.35146501937876
