year,primary_sector,state,p50,n_facilities
2024,Power Plants,TX,90698320.95844759,30
2024,Power Plants,UT,3957625.6618366125,3
2024,Power Plants,VA,884059.3677330185,2
2024,Power Plants,VI,253872.47966099443,1
2024,Power Plants,WA,2376273.1911294675,4
2024,Power Plants,WI,15102642.011462951,10
2024,Power Plants,WV,23973816.21092079,5
2024,Power Plants,WY,5521911.303021128,6
2024,Pulp and Paper,AL,1580974.399358498,5
2024,Pulp and Paper,AR,795975.7286761147,3
2024,Pulp and Paper,CA,611152.7860892094,3
2024,Pulp and Paper,CT,235153.98240481137,2
2024,Pulp and Paper,FL,363901.3859668031,1
2024,Pulp and Paper,GA,608882.9068618136,5
2024,Pulp and Paper,ID,312694.392731643,1
2024,Pulp and Paper,IN,54509.03435513625,1
2024,Pulp and Paper,KY,47924.40594390896,1
2024,Pulp and Paper,LA,1537420.4402026623,5
2024,Pulp and Paper,ME,309530.35729263356,1
2024,Pulp and Paper,MI,119340.20024839693,1
2024,Pulp and Paper,MN,148906.45255492267,1
2024,Pulp and Paper,MO,161689.1770887684,1
2024,Pulp and Paper,MS,220999.2586061585,2
2024,Pulp and Paper,NC,256045.13161708092,1
2024,Pulp and Paper,NJ,32092.694959409106,1
2024,Pulp and Paper,NY,518191.30049727793,5
2024,Pulp and Paper,OH,112471.3169955246,2
2024,Pulp and Paper,OK,1102184.4785904896,3
2024,Pulp and Paper,OR,447845.3125725033,2
2024,Pulp and Paper,PA,1045217.1303655187,4
2024,Pulp and Paper,SC,302403.8412754324,3
2024,Pulp and Paper,TN,616336.2723088837,6
2024,Pulp and Paper,TX,536142.7213973401,2
2024,Pulp and Paper,UT,49794.25388133566,1
2024,Pulp and Paper,VA,2080975.4324722597,5
2024,Pulp and Paper,WA,199366.00942925044,2
2024,Pulp and Paper,WI,430445.81129609764,6
2024,Pulp and Paper,WV,26767.401275161577,1
2024,Refineries,TX,542989.0209078384,1
2024,Refineries,UT,503329.3511211657,1
2024,Waste,AK,283306.37000765017,3
2024,Waste,AL,1276941.2752557965,10
2024,Waste,AR,546539.3882866023,8
2024,Waste,AZ,356540.2574691906,8
2024,Waste,CA,1123183.9183411403,16
2024,Waste,CO,346599.442058121,4
2024,Waste,CT,563183.9197289563,4
2024,Waste,FL,3924159.482588079,22
2024,Waste,GA,1796710.8106568267,17
2024,Waste,HI,932.5799433988207,1
2024,Waste,IA,503878.7691688688,11
2024,Waste,ID,130963.56564063535,1
2024,Waste,IL,1087834.0227526024,19
2024,Waste,IN,998022.2622304872,14
2024,Waste,KS,426144.7771581501,5
2024,Waste,KY,583315.4835525865,8
2024,Waste,LA,1049573.5503360499,8
2024,Waste,MA,483359.2584588862,3
2024,Waste,MD,721646.5182441196,7
2024,Waste,ME,57059.09813400459,1
2024,Waste,MI,564671.276530058,9
2024,Waste,MN,280857.14834795287,4
2024,Waste,MO,104607.9998316956,5
2024,Waste,MS,461960.40800642635,4
2024,Waste,NC,1790018.495569501,19
2024,Waste,ND,117979.77725060708,3
2024,Waste,NE,436030.32178674027,6
2024,Waste,NH,71230.13057886988,1
2024,Waste,NJ,411911.3688506853,6
2024,Waste,NM,129852.80133546876,2
2024,Waste,NV,39500.739367450595,1
2024,Waste,NY,1474580.1135676973,18
2024,Waste,OH,1282037.686657178,13
2024,Waste,OK,231714.32221804056,5
2024,Waste,OR,250454.50724317663,1
2024,Waste,PA,1557870.502714919,18
2024,Waste,PR,167542.35402238293,2
2024,Waste,SC,831592.5605981824,11
2024,Waste,SD,53169.59339381175,1
2024,Waste,TN,754569.5528458118,10
2024,Waste,TX,3033998.011429605,29
2024,Waste,UT,358468.7605878101,6
2024,Waste,VA,407597.3694824382,7
2024,Waste,VT,56674.584349643665,1
2024,Waste,WA,960262.951917464,9
2024,Waste,WI,514204.12473322597,10
2024,Waste,WV,447014.36216137843,5
2024,Waste,WY,63522.22360421115,1
2025,Other,AK,791102.1367750905,7
2025,Other,AL,398044.77757276385,7
2025,Other,AR,202330.60436495414,4
2025,Other,AZ,164871.33997817925,2
2025,Other,CA,3811456.7984714857,33
2025,Other,CO,401298.3458937228,6
2025,Other,CT,563135.3963577256,9
2025,Other,DE,73738.32015321153,2
2025,Other,FL,307233.8715814279,5
2025,Other,GA,853035.7608593709,15
2025,Other,IA,8842961.985255184,41
2025,Other,ID,488646.86467170226,8
2025,Other,IL,2364250.0314385407,21
2025,Other,IN,3892545.3999308012,26
2025,Other,KS,772486.2882096058,14
2025,Other,KY,508612.82659076294,10
2025,Other,LA,370049.08447456826,4
2025,Other,MA,398856.7725784241,6
2025,Other,MD,450806.0005158934,4
2025,Other,ME,19704.430441631535,1
2025,Other,MI,1548712.385813877,20
2025,Other,MN,1886907.9978205787,22
2025,Other,MO,738388.026222673,13
2025,Other,MS,119415.91076605611,3
2025,Other,MT,40210.56434296513,1
2025,Other,NC,618841.9464784056,11
2025,Other,ND,358861.6668794646,5
2025,Other,NE,2657116.0662903157,19
2025,Other,NH,40016.20091915284,1
2025,Other,NJ,250966.78871313046,7
2025,Other,NM,103714.37685471696,3
2025,Other,NV,260995.94907036476,4
2025,Other,NY,1115266.6800849047,16
2025,Other,OH,1574647.2071180593,19
2025,Other,OK,438796.33132976707,8
2025,Other,OR,450988.98704393895,7
2025,Other,PA,5261321.877271749,11
2025,Other,RI,23739.522364978864,1
2025,Other,SC,350587.1923293902,6
2025,Other,SD,1173430.1029122777,11
2025,Other,TN,1030312.8055650113,11
2025,Other,TX,9511278.875350859,25
2025,Other,UT,229179.89430337318,4
2025,Other,VA,712754.4517347052,10
2025,Other,VI,32338.450709687386,1
2025,Other,VT,54809.08297498997,2
2025,Other,WA,463583.27580178424,8
2025,Other,WI,923829.691080737,13
2025,Other,WV,2643253.618083806,4
2025,Other,WY,36373.91456029945,1
2025,Chemicals,AK,605130.102906702,2
2025,Chemicals,AL,2560714.7877720804,7
2025,Chemicals,AR,2118180.562640123,6
2025,Chemicals,AZ,406435.50291510596,1
2025,Chemicals,CA,23181760.777414523,15
2025,Chemicals,CO,30643.496060134137,1
2025,Chemicals,DE,23714.99270485979,1
2025,Chemicals,FL,242668.611065981,1
2025,Chemicals,GA,1556385.7862755526,2
2025,Chemicals,HI,612219.1977008866,1
2025,Chemicals,IA,4993817.731696464,4
2025,Chemicals,ID,239448.573549752,2
2025,Chemicals,IL,7437603.897250175,10
2025,Chemicals,IN,5161617.615890411,3
2025,Chemicals,KS,4931830.469126657,8
2025,Chemicals,KY,815828.7776569903,4
2025,Chemicals,LA,32928242.488609456,32
2025,Chemicals,MA,71230.17434108353,2
2025,Chemicals,MD,103004.5128524086,1
2025,Chemicals,MI,174474.55045893742,3
2025,Chemicals,MN,4922002.815219564,2
2025,Chemicals,MO,192717.24392810097,3
2025,Chemicals,MS,7294247.048900098,2
2025,Chemicals,MT,2998087.3006249685,4
2025,Chemicals,NC,132199.87364067588,1
2025,Chemicals,NJ,2363727.9969722345,3
2025,Chemicals,NM,836091.9984633146,1
2025,Chemicals,NV,27139.70354025515,1
2025,Chemicals,NY,20054.132618695545,1
2025,Chemicals,OH,2159633.697294568,8
2025,Chemicals,OK,4186777.820479497,4
2025,Chemicals,OR,181220.6951948543,1
2025,Chemicals,PA,1111599.4812842482,5
2025,Chemicals,PR,56528.28044720894,1
2025,Chemicals,TN,5087952.361207868,5
2025,Chemicals,TX,35765198.25508643,45
2025,Chemicals,UT,253589.1180913038,2
2025,Chemicals,VA,1221674.8764441889,2
2025,Chemicals,WA,2291489.108444661,4
2025,Chemicals,WV,1574239.6596314625,5
2025,Chemicals,WY,424855.5707882604,1
2025,Import and Export of Equipment Containing Fluorintaed GHGs,AL,27383.136471201113,1
2025,Import and Export of Equipment Containing Fluorintaed GHGs,PA,42703.89763696247,1
2025,Industrial Gas Suppliers,NJ,8007.820968425862,1
2025,Injection of CO2,IL,3792656.3712911266,1
2025,Injection of CO2,NM,192768.75901499085,1
2025,Injection of CO2,TX,147856.57730040827,2
2025,Metals,AL,1503371.8919878413,9
2025,Metals,AR,491779.0896706197,3
2025,Metals,AZ,81710.15822446496,1
2025,Metals,CA,107650.11482321715,3
2025,Metals,CO,268410.26396470965,1
2025,Metals,FL,100516.54183562666,1
2025,Metals,GA,122716.35313485027,2
